# Japanese candidate prior for offline ranking.
# Format: reading<TAB>candidate<TAB>priority
# priority: 3=move forward by up to 3 positions, 2=up to 2, 1=up to 1.
# Curated general vocabulary and common inflections; no external corpus text is included.
# Entries: 2000
あいさつ	挨拶	2
あいさつした	挨拶した	1
あいさつして	挨拶して	1
あいさつしました	挨拶しました	1
あいさつします	挨拶します	1
あいさつする	挨拶する	1
あいて	相手	2
あいであ	アイデア	1
あいました	会いました	1
あいます	会います	1
あう	会う	2
あおい	青い	2
あおかった	青かった	1
あおく	青く	1
あおくて	青くて	1
あおくない	青くない	1
あかい	赤い	2
あかかった	赤かった	1
あかく	赤く	1
あかくて	赤くて	1
あかくない	赤くない	1
あかちゃん	赤ちゃん	2
あがった	上がった	1
あがりました	上がりました	1
あがります	上がります	1
あがる	上がる	2
あかるい	明るい	2
あかるかった	明るかった	1
あかるく	明るく	1
あかるくて	明るくて	1
あかるくない	明るくない	1
あき	秋	2
あくしゅ	握手	1
あくせさりー	アクセサリー	1
あくせす	アクセス	1
あけた	開けた	1
あげた	上げた	1
あけたい	開けたい	1
あげたい	上げたい	1
あけて	開けて	1
あげて	上げて	1
あけない	開けない	1
あげない	上げない	1
あけました	開けました	1
あげました	上げました	1
あけます	開けます	1
あげます	上げます	1
あける	開ける	2
あげる	上げる	2
あさ	朝	3
あさって	明後日	3
あし	足	2
あじ	味	2
あしあと	足跡	1
あした	明日	3
あしもと	足元	1
あずける	預ける	2
あそび	遊び	1
あそびました	遊びました	1
あそびます	遊びます	1
あそぶ	遊ぶ	2
あそんだ	遊んだ	1
あたたかい	暖かい	2
あたたかかった	暖かかった	1
あたたかく	暖かく	1
あたたかくて	暖かくて	1
あたたかくない	暖かくない	1
あたらしい	新しい	3
あたり	辺り	1
あつい	暑い	2
あつかった	暑かった	1
あつく	暑く	1
あつくて	暑くて	1
あつくない	暑くない	1
あった	あった	1
あった	会った	1
あって	会って	1
あつまった	集まった	1
あつまりました	集まりました	1
あつまります	集まります	1
あつまる	集まる	2
あつめた	集めた	1
あつめたい	集めたい	1
