the	12000
to	11999
and	11998
of	11997
in	11996
is	11995
for	11994
that	11993
you	11992
it	11991
on	11990
with	11989
this	11988
was	11987
be	11986
as	11985
are	11984
have	11983
at	11982
he	11981
not	11980
by	11979
but	11978
from	11977
my	11976
or	11975
we	11974
an	11973
your	11972
all	11971
so	11970
his	11969
they	11968
me	11967
if	11966
one	11965
can	11964
will	11963
just	11962
like	11961
about	11960
up	11959
out	11958
what	11957
has	11956
when	11955
more	11954
do	11953
no	11952
were	11951
who	11950
had	11949
their	11948
there	11947
her	11946
which	11945
time	11944
get	11943
been	11942
would	11941
she	11940
new	11939
people	11938
how	11937
some	11936
also	11935
them	11934
now	11933
other	11932
its	11931
our	11930
than	11929
good	11928
only	11927
after	11926
first	11925
him	11924
into	11923
know	11922
see	11921
two	11920
make	11919
over	11918
think	11917
any	11916
then	11915
could	11914
back	11913
these	11912
us	11911
want	11910
because	11909
go	11908
well	11907
said	11906
way	11905
most	11904
much	11903
very	11902
where	11901
even	11900
should	11899
may	11898
here	11897
need	11896
really	11895
did	11894
right	11893
work	11892
year	11891
years	11890
being	11889
day	11888
too	11887
going	11886
before	11885
off	11884
why	11883
made	11882
still	11881
take	11880
got	11879
many	11878
never	11877
those	11876
life	11875
say	11874
world	11873
down	11872
great	11871
through	11870
last	11869
while	11868
best	11867
such	11866
love	11865
man	11864
home	11863
long	11862
look	11861
something	11860
use	11859
same	11858
used	11857
both	11856
every	11855
am	11854
come	11853
part	11852
state	11851
three	11850
around	11849
between	11848
always	11847
better	11846
find	11845
help	11844
high	11843
little	11842
old	11841
since	11840
another	11839
does	11838
own	11837
things	11836
under	11835
during	11834
game	11833
thing	11832
give	11831
house	11830
place	11829
school	11828
again	11827
next	11826
each	11825
mr	11824
without	11823
against	11822
end	11821
found	11820
must	11819
show	11818
big	11817
feel	11816
sure	11815
team	11814
ever	11813
family	11812
keep	11811
might	11810
please	11809
put	11808
money	11807
free	11806
second	11805
someone	11804
away	11803
left	11802
number	11801
city	11800
days	11799
lot	11798
name	11797
night	11796
play	11795
until	11794
company	11793
doing	11792
few	11791
let	11790
real	11789
called	11788
different	11787
having	11786
set	11785
thought	11784
done	11783
however	11782
getting	11781
god	11780
government	11779
group	11778
looking	11777
public	11776
top	11775
women	11774
business	11773
care	11772
start	11771
system	11770
times	11769
week	11768
already	11767
anything	11766
case	11765
nothing	11764
person	11763
today	11762
change	11761
enough	11760
everything	11759
full	11758
live	11757
making	11756
point	11755
read	11754
told	11753
yet	11752
bad	11751
four	11750
hard	11749
mean	11748
once	11747
support	11746
tell	11745
including	11744
music	11743
power	11742
seen	11741
states	11740
stop	11739
water	11738
based	11737
believe	11736
call	11735
head	11734
men	11733
national	11732
small	11731
took	11730
white	11729
came	11728
far	11727
job	11726
side	11725
though	11724
try	11723
went	11722
yes	11721
actually	11720
american	11719
later	11718
less	11717
line	11716
order	11715
party	11714
run	11713
says	11712
service	11711
country	11710
open	11709
season	11708
shit	11707
thank	11706
children	11705
everyone	11704
general	11703
trying	11702
united	11701
using	11700
area	11699
black	11698
following	11697
law	11696
makes	11695
together	11694
war	11693
whole	11692
car	11691
face	11690
five	11689
kind	11688
maybe	11687
per	11686
president	11685
story	11684
working	11683
course	11682
games	11681
health	11680
hope	11679
important	11678
least	11677
means	11676
news	11675
within	11674
able	11673
book	11672
early	11671
friends	11670
information	11669
local	11668
oh	11667
post	11666
thanks	11665
video	11664
young	11663
ago	11662
others	11661
social	11660
talk	11659
court	11658
fact	11657
given	11656
guys	11655
half	11654
hand	11653
level	11652
mind	11651
often	11650
single	11649
become	11648
body	11647
coming	11646
control	11645
death	11644
food	11643
guy	11642
hours	11641
office	11640
pay	11639
problem	11638
south	11637
true	11636
almost	11635
fuck	11634
history	11633
known	11632
large	11631
lost	11630
research	11629
room	11628
several	11627
started	11626
taking	11625
university	11624
win	11623
wrong	11622
along	11621
anyone	11620
else	11619
girl	11618
john	11617
matter	11616
pretty	11615
remember	11614
air	11613
bit	11612
friend	11611
hit	11610
needs	11609
nice	11608
playing	11607
probably	11606
saying	11605
understand	11604
yeah	11603
york	11602
class	11601
close	11600
comes	11599
idea	11598
international	11597
looks	11596
past	11595
possible	11594
wanted	11593
cause	11592
due	11591
happy	11590
human	11589
members	11588
months	11587
move	11586
question	11585
series	11584
wait	11583
woman	11582
ask	11581
community	11580
data	11579
late	11578
leave	11577
north	11576
saw	11575
special	11574
watch	11573
either	11572
fucking	11571
future	11570
light	11569
low	11568
million	11567
morning	11566
police	11565
short	11564
stay	11563
taken	11562
age	11561
buy	11560
deal	11559
rather	11558
reason	11557
red	11556
report	11555
soon	11554
third	11553
turn	11552
whether	11551
among	11550
check	11549
development	11548
form	11547
further	11546
heart	11545
minutes	11544
myself	11543
services	11542
yourself	11541
act	11540
although	11539
asked	11538
child	11537
fire	11536
fun	11535
living	11534
major	11533
media	11532
phone	11531
players	11530
art	11529
behind	11528
building	11527
easy	11526
gonna	11525
market	11524
near	11523
non	11522
plan	11521
political	11520
quite	11519
six	11518
talking	11517
west	11516
works	11515
according	11514
available	11513
education	11512
final	11511
former	11510
front	11509
kids	11508
list	11507
ready	11506
sometimes	11505
son	11504
street	11503
bring	11502
college	11501
current	11500
example	11499
experience	11498
heard	11497
london	11496
meet	11495
program	11494
type	11493
baby	11492
chance	11491
father	11490
march	11489
process	11488
song	11487
study	11486
word	11485
across	11484
action	11483
clear	11482
gave	11481
gets	11480
himself	11479
month	11478
outside	11477
self	11476
students	11475
words	11474
board	11473
cost	11472
cut	11471
dr	11470
field	11469
held	11468
instead	11467
main	11466
moment	11465
mother	11464
road	11463
seems	11462
thinking	11461
town	11460
wants	11459
de	11458
department	11457
energy	11456
fight	11455
fine	11454
force	11453
hear	11452
issue	11451
played	11450
points	11449
price	11448
re	11447
rest	11446
results	11445
running	11444
shows	11443
space	11442
summer	11441
term	11440
wife	11439
america	11438
beautiful	11437
date	11436
goes	11435
killed	11434
land	11433
miss	11432
project	11431
sex	11430
shot	11429
site	11428
strong	11427
account	11426
co	11425
especially	11424
eyes	11423
include	11422
june	11421
parents	11420
period	11419
position	11418
record	11417
similar	11416
total	11415
above	11414
club	11413
common	11412
died	11411
film	11410
happened	11409
knew	11408
lead	11407
likely	11406
military	11405
perfect	11404
personal	11403
security	11402
share	11401
st	11400
tv	11399
won	11398
april	11397
center	11396
county	11395
couple	11394
dead	11393
english	11392
happen	11391
hold	11390
industry	11389
inside	11388
issues	11387
online	11386
player	11385
private	11384
problems	11383
return	11382
rights	11381
sense	11380
star	11379
test	11378
view	11377
weeks	11376
break	11375
british	11374
companies	11373
event	11372
higher	11371
hour	11370
member	11369
middle	11368
needed	11367
present	11366
result	11365
sorry	11364
takes	11363
training	11362
wish	11361
answer	11360
boy	11359
design	11358
finally	11357
girls	11356
gold	11355
gone	11354
guess	11353
interest	11352
july	11351
king	11350
learn	11349
policy	11348
society	11347
added	11346
al	11345
alone	11344
average	11343
bank	11342
brought	11341
certain	11340
church	11339
east	11338
hands	11337
hot	11336
longer	11335
medical	11334
movie	11333
original	11332
park	11331
performance	11330
press	11329
received	11328
role	11327
sent	11326
themselves	11325
tried	11324
worked	11323
worth	11322
areas	11321
became	11320
bill	11319
books	11318
cool	11317
director	11316
exactly	11315
giving	11314
ground	11313
meeting	11312
provide	11311
questions	11310
relationship	11309
september	11308
sound	11307
source	11306
usually	11305
value	11304
evidence	11303
follow	11302
lives	11301
official	11300
ok	11299
production	11298
rate	11297
reading	11296
round	11295
save	11294
stand	11293
stuff	11292
tax	11291
whatever	11290
amount	11289
blue	11288
countries	11287
david	11286
drive	11285
eat	11284
fall	11283
fast	11282
federal	11281
feeling	11280
felt	11279
green	11278
league	11277
management	11276
match	11275
model	11274
picture	11273
size	11272
step	11271
trust	11270
central	11269
changes	11268
england	11267
forward	11266
groups	11265
hey	11264
key	11263
mom	11262
page	11261
paid	11260
range	11259
review	11258
science	11257
trade	11256
uk	11255
upon	11254
various	11253
attention	11252
brother	11251
cannot	11250
character	11249
chief	11248
cup	11247
football	11246
hate	11245
james	11244
led	11243
looked	11242
lower	11241
natural	11240
october	11239
property	11238
quality	11237
send	11236
style	11235
vote	11234
amazing	11233
august	11232
blood	11231
china	11230
complete	11229
dog	11228
economic	11227
hell	11226
involved	11225
itself	11224
language	11223
lord	11222
november	11221
oil	11220
related	11219
serious	11218
stage	11217
terms	11216
title	11215
add	11214
article	11213
attack	11212
born	11211
damn	11210
decided	11209
decision	11208
enjoy	11207
entire	11206
french	11205
january	11204
kill	11203
met	11202
perhaps	11201
poor	11200
release	11199
situation	11198
technology	11197
turned	11196
website	11195
written	11194
choice	11193
code	11192
considered	11191
continue	11190
council	11189
cover	11188
currently	11187
door	11186
election	11185
european	11184
events	11183
financial	11182
foreign	11181
hair	11180
increase	11179
legal	11178
lose	11177
michael	11176
pick	11175
race	11174
seem	11173
seven	11172
sign	11171
simple	11170
simply	11169
staff	11168
super	11167
union	11166
walk	11165
washington	11164
bed	11163
began	11162
built	11161
career	11160
changed	11159
crazy	11158
daily	11157
daughter	11156
december	11155
die	11154
difficult	11153
figure	11152
hospital	11151
knows	11150
loss	11149
modern	11148
ones	11147
paper	11146
parts	11145
popular	11144
published	11143
safe	11142
starting	11141
systems	11140
version	11139
voice	11138
whose	11137
writing	11136
army	11135
australia	11134
earth	11133
forget	11132
goal	11131
huge	11130
internet	11129
listen	11128
okay	11127
practice	11126
rules	11125
sea	11124
sir	11123
success	11122
towards	11121
waiting	11120
ways	11119
access	11118
base	11117
below	11116
created	11115
deep	11114
followed	11113
la	11112
lol	11111
mark	11110
missing	11109
offer	11108
pass	11107
professional	11106
released	11105
risk	11104
schools	11103
sleep	11102
table	11101
ten	11100
truth	11099
ball	11098
box	11097
build	11096
card	11095
cases	11094
dark	11093
district	11092
europe	11091
george	11090
india	11089
mine	11088
minister	11087
note	11086
percent	11085
piece	11084
products	11083
recent	11082
seeing	11081
straight	11080
visit	11079
wall	11078
wanna	11077
wrote	11076
allowed	11075
boys	11074
culture	11073
etc	11072
fans	11071
february	11070
gives	11069
growth	11068
included	11067
married	11066
officer	11065
pain	11064
paul	11063
places	11062
respect	11061
response	11060
river	11059
rock	11058
shall	11057
speak	11056
specific	11055
standard	11054
tonight	11053
write	11052
album	11051
century	11050
charge	11049
cold	11048
create	11047
effect	11046
eight	11045
except	11044
eye	11043
funny	11042
ii	11041
limited	11040
moving	11039
network	11038
peace	11037
provided	11036
recently	11035
required	11034
sales	11033
spent	11032
store	11031
student	11030
tomorrow	11029
track	11028
via	11027
watching	11026
weight	11025
addition	11024
ahead	11023
allow	11022
anti	11021
association	11020
beat	11019
brown	11018
capital	11017
chinese	11016
committee	11015
conference	11014
difference	11013
double	11012
expect	11011
gas	11010
island	11009
moved	11008
normal	11007
plans	11006
population	11005
potential	11004
pressure	11003
radio	11002
russian	11001
station	11000
text	10999
treatment	10998
western	10997
ass	10996
beginning	10995
california	10994
campaign	10993
certainly	10992
completely	10991
content	10990
credit	10989
cross	10988
described	10987
despite	10986
female	10985
focus	10984
hi	10983
husband	10982
ice	10981
individual	10980
interesting	10979
join	10978
kept	10977
leading	10976
loved	10975
message	10974
miles	10973
nearly	10972
particular	10971
previous	10970
quickly	10969
region	10968
reported	10967
section	10966
sort	10965
